Date,Value,iValue,rolling_14d,AdjustedValue,iAdjusted,rolling_14d_adjusted,USD_TL
2022-07-04,,40.317142857142855,40.429846938775505,,2.4076260544347683,2.4143564243010407,16.7456
2022-07-05,,40.21142857142857,40.38994897959184,,2.3901655742451764,2.4007768195814148,16.8237
2022-07-06,,40.105714285714285,40.370000000000005,,2.3636923916283155,2.379268479554911,16.9674
2022-07-07,40.0,40.0,40.370000000000005,2.3238520171035506,2.3238520171035506,2.345347648261759,17.2128
2022-07-08,39.72,39.72,40.342448979591836,2.2971222355880445,2.2971222355880445,2.3331202565230775,17.2912
2022-07-09,,39.6,40.29877551020409,,2.290182289256963,2.3305944937427183,17.2912
2022-07-10,,39.48,40.23897959183673,,2.283242342925881,2.3271363232069917,17.2912
2022-07-11,,39.36,40.1630612244898,,2.2763023965947995,2.3227457449158995,17.2912
2022-07-12,,39.24,40.07102040816327,,2.269362450263718,2.3174227588694407,17.2912
2022-07-13,,39.12,39.962857142857146,,2.262422503932636,2.311167365067615,17.2912
2022-07-14,39.0,39.0,39.83857142857143,2.238471869870169,2.238471869870169,2.286603114837707,17.4226
2022-07-15,,39.12714285714286,39.73091836734694,,2.2436124544287983,2.278233900193926,17.439349999999997
2022-07-16,,39.254285714285714,39.63989795918367,,2.2487431736920453,2.2708335744630057,17.4561
2022-07-17,,39.38142857142857,39.56551020408163,,2.2538640560314183,2.2643993512267104,17.47285
2022-07-18,,39.50857142857143,39.507755102040825,,2.258975129709738,2.2589284547411506,17.4896
2022-07-19,,39.635714285714286,39.46663265306122,,2.265545257828767,2.255880688943196,17.495
2022-07-20,,39.76285714285714,39.442142857142855,,2.262582843096212,2.2443335850565806,17.5741
2022-07-21,39.89,39.89,39.43428571428571,2.267482179602324,2.267482179602324,2.241577842128086,17.5922
2022-07-22,,40.0,39.45428571428572,,2.26501848821341,2.234117164552784,17.6599
2022-07-23,,40.11,39.49071428571428,,2.2676946329530914,2.232682145031121,17.687566666666665
2022-07-24,,40.22,39.54357142857143,,2.2703624187845866,2.232178977522439,17.715233333333334
2022-07-25,40.33,40.33,39.612857142857145,2.2730218848102623,2.2730218848102623,2.232603302890573,17.7429
2022-07-26,,40.06,39.67142857142857,,2.246384532134065,2.224595194970508,17.8331
2022-07-27,39.79,39.79,39.71928571428571,2.2271852050868706,2.2271852050868706,2.223227079655075,17.8656
2022-07-28,,39.72923076923077,39.771373626373624,,2.219224947030871,2.2215789941166006,17.9023
2022-07-29,,39.668461538461536,39.81003924646781,,2.211580811323239,2.219473997249651,17.9367
2022-07-30,,39.607692307692304,39.83528257456829,,2.208627904033995,2.2213189290551933,17.933166666666665
2022-07-31,,39.54692307692308,39.84710361067504,,2.2056738329054735,2.2224159786131548,17.929633333333335
2022-08-01,,39.48615384615385,39.84550235478806,,2.2027185972494765,2.222764703688368,17.9261
2022-08-02,,39.425384615384615,39.83047880690737,,2.195458472710014,2.2180167174475223,17.9577
2022-08-03,,39.364615384615384,39.80203296703297,,2.191183711918474,2.2155320326764807,17.965
2022-08-04,,39.30384615384615,39.76016483516484,,2.1874236092767823,2.2128196545636345,17.9681
2022-08-05,,39.24307692307692,39.706098901098905,,2.1841387923103035,2.2099090515046167,17.9673
2022-08-06,,39.182307692307695,39.63983516483517,,2.1807080312064255,2.206171917654189,17.9677
2022-08-07,,39.121538461538464,39.56137362637362,,2.1772774228515237,2.2017560914272307,17.9681
2022-08-08,,39.06076923076923,39.47071428571428,,2.1738469672353973,2.1966616181492213,17.9685
2022-08-09,39.0,39.0,39.394999999999996,2.170090587371186,2.170090587371186,2.192069709986868,17.9716
2022-08-10,,39.60666666666667,39.381904761904764,,2.2047553838560394,2.192243727074112,17.9642
2022-08-11,,40.21333333333333,39.41648351648352,,2.2386633339085864,2.1943029608744324,17.9631
2022-08-12,,40.82,39.49873626373626,,2.271829206529422,2.1982945287839013,17.9679
2022-08-13,,41.42666666666667,39.628663003663,,2.3055503508970463,2.205484661096138,17.968233333333334
2022-08-14,,42.03333333333333,39.806263736263745,,2.3392702441485778,2.215327715042959,17.968566666666668
2022-08-15,42.64,42.64,40.03153846153846,2.372988886353644,2.372988886353644,2.227823542984738,17.9689
2022-08-16,,42.61857142857143,40.25962323390895,,2.371202523093651,2.2399558922579446,17.9734
2022-08-17,,42.597142857142856,40.4905180533752,,2.369878430275439,2.2526770325226546,17.9744
2022-08-18,,42.575714285714284,40.72422291993721,,2.3688048674834774,2.265792579071255,17.9735
2022-08-19,,42.55428571428572,40.960737833594976,,2.36398251852863,2.2754574905752967,18.0011
2022-08-20,,42.53285714285715,41.20006279434851,,2.358067535155585,2.2841759770667145,18.037166666666668
2022-08-21,,42.511428571428574,41.4421978021978,,2.3521761594823607,2.2930151477524485,18.07323333333333
2022-08-22,42.49,42.49,41.68714285714286,2.3463082504569477,2.3463082504569477,2.3019742815648785,18.1093
2022-08-23,,43.09,41.979285714285716,,2.376540145824371,2.315280988466733,18.1314
2022-08-24,,43.69,42.27095238095238,,2.409219995037084,2.3309687270645667,18.1345
2022-08-25,,44.29,42.56214285714286,,2.4401800521203505,2.3449828849739593,18.1503
2022-08-26,44.89,44.89,42.85285714285715,2.469291996941576,2.469291996941576,2.3572336197134733,18.1793
